_ _ _ _ _ _ _ _ _ | 0.94 0.92 0.94 0.92 0.0 0.92 0.94 0.92 0.94
_ _ _ _ _ _ _ _ _ | 0.94 0.92 0.94 0.92 0.0 0.92 0.94 0.92 0.94
O X _ _ _ _ _ _ _ | 0.0 0.0 0.0 0.96 0.96 0.0 0.96 0.0 0.94 
O X O X _ _ _ _ _ | 0.0 0.0 0.0 0.0 0.98 0.0 -0.97 0.0 0.98 
O X O X O X _ _ _ | 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.98 1.0 
O X O X O X X O _ | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 
O X O X O X _ O X | 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 
O X O X O _ X _ _ | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 
O X O X O O X X _ | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 
O X O X O O X _ X | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
O X O X O _ X O X | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
O X O X O _ _ X _ | 0.0 0.0 0.0 0.0 0.0 0.98 1.0 0.0 1.0 
O X O X O O _ X X | 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 
O X O X O _ _ _ X | 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 
O X O X X O _ _ _ | 0.0 0.0 0.0 0.0 0.0 0.0 -0.99 0.0 1.0 
O X O X X O O _ X | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
O X O X X O X O _ | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 
O X O X X O _ O X | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
O X O X _ O X _ _ | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 
O X O X _ O X O X | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
O X O X _ O _ X _ | 0.0 0.0 0.0 0.0 0.98 0.0 -0.99 0.0 1.0 
O X O X _ O O X X | 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 
O X O X _ O _ _ X | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
O X O X X _ O _ _ | 0.0 0.0 0.0 0.0 0.0 -0.99 0.0 -0.99 -0.99 
O X O X X _ O O X | 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
O X O X _ X O _ _ | 0.0 0.0 0.0 0.0 1.0 0.0 0.0 -0.99 -0.99 
O X O X _ X O O X | 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 0.0 
